id,Name,gender,Country,JobTitle,State,WorkActive
957,Jamima,Female,PL,Administrative Officer,Marrid,Not Working
958,Gabriello,Male,MX,Information Systems Manager,Single,Working
959,Suzie,Female,YE,Geologist I,Single,Working
960,Smith,Male,CN,Graphic Designer,Marrid,Working
961,Ramsay,Male,VN,Mechanical Systems Engineer,Single,Working
962,Sisile,Female,FI,Programmer I,Single,Not Working
963,Annadiana,Female,SY,Human Resources Assistant I,Single,Working
964,Debera,Female,CN,General Manager,Single,Working
965,Antonia,Female,PS,Analyst Programmer,Marrid,Not Working
966,Chev,Male,SE,Information Systems Manager,Single,Working
967,Feodora,Female,ZA,Junior Executive,Marrid,Working
968,Stearne,Male,CN,Research Associate,Single,Working
969,Phillipe,Male,JP,Food Chemist,Marrid,Not Working
970,Francklin,Male,CL,Technical Writer,Single,Working
971,Charin,Female,PH,VP Sales,Marrid,Not Working
972,Eileen,Female,CO,Nurse Practicioner,Marrid,Not Working
973,Rickert,Male,PL,Financial Analyst,Marrid,Working
974,Archibaldo,Male,BR,Chemical Engineer,Single,Working
975,Davidson,Male,TH,Design Engineer,Marrid,Working
976,Malchy,Male,CN,General Manager,Marrid,Not Working
977,Kore,Female,PH,Internal Auditor,Marrid,Working
978,Brittaney,Female,CN,Registered Nurse,Marrid,Working
979,Bone,Male,GH,Recruiting Manager,Single,Not Working
980,Clemmy,Male,LA,Financial Advisor,Marrid,Working
981,Urson,Male,BR,Accountant IV,Marrid,Not Working
982,Clemens,Male,CN,Senior Quality Engineer,Single,Not Working
983,Efren,Male,CO,Senior Sales Associate,Marrid,Working
984,Dian,Female,FR,Teacher,Marrid,Working
985,Dana,Female,US,Recruiter,Single,Not Working
986,Lucais,Male,BG,Office Assistant IV,Single,Working
987,Coraline,Female,RU,Clinical Specialist,Single,Not Working
988,Doug,Male,ET,Quality Control Specialist,Single,Not Working
989,Vilhelmina,Female,LT,Help Desk Technician,Marrid,Working
990,Danyelle,Female,PH,Analog Circuit Design manager,Marrid,Not Working
991,Marigold,Female,PE,Developer IV,Marrid,Not Working
992,Spence,Male,FR,Senior Sales Associate,Marrid,Working
993,Aurore,Female,ID,Environmental Tech,Marrid,Working
994,Deeann,Female,BG,General Manager,Single,Working
995,Thibaut,Male,TH,Analyst Programmer,Single,Working
996,Byran,Male,LU,Media Manager I,Single,Working
997,Merrile,Female,PH,Librarian,Single,Working
998,Brian,Male,SE,Web Developer III,Single,Not Working
999,Dolly,Female,ID,Budget/Accounting Analyst II,Marrid,Not Working
1000,Constantin,Male,CN,Administrative Officer,Marrid,Not Working
